From,To,Weight
A24,A01,0.000607
A42,A15,0.000598
A43,A34,0.000574
A30,A12,0.000569
A37,A32,0.000553
A49,A09,0.00055
A24,A17,0.000546
A27,A33,0.000538
A15,A01,0.000537
A29,A12,0.000535
A46,A39,0.000527
A30,A04,0.000517
A30,A52,0.000517
A33,A21,0.000515
A43,A32,0.000514
A43,A23,0.00049
A21,A17,0.00048
A22,A08,0.000476
A02,A36,0.000472
A27,A26,0.000472
A51,A39,0.000472
A37,A15,0.000466
A43,A27,0.000463
A04,A15,0.000461
A29,A19,0.00046
A43,A07,0.000456
A12,A21,0.000447
A34,A13,0.000442
A40,A13,0.000438
A32,A01,0.000429
A31,A04,0.000423
A31,A52,0.000423
A12,A39,0.000403
A43,A16,0.000395
A04,A29,0.000394
A50,A41,0.000389
A04,A25,0.000374
A21,A39,0.000367
A51,A30,0.000364
A25,A27,0.000356
A04,A14,0.000339
A04,A22,0.000336
A33,A17,0.000336
A02,A17,0.000332
A51,A21,0.000321
A40,A04,0.000319
A40,A52,0.000319
A43,A06,0.000319
A28,A32,0.000313
A50,A03,0.000312
A42,A31,0.000307
A51,A05,0.000306
A27,A36,0.000299
A04,A30,0.000298
A31,A39,0.000291
A47,A36,0.000287
A36,A06,0.000285
A47,A04,0.000282
A47,A52,0.000282
A04,A20,0.00028
A04,A37,0.000279
A43,A08,0.000278
A02,A11,0.000266
A50,A19,0.000266
A06,A48,0.000245
A08,A42,0.000245
A50,A37,0.000244
A15,A14,0.000224
A51,A25,0.000224
A50,A09,0.000222
A47,A07,0.000211
A28,A12,0.00021
A28,A06,0.000205
A45,A26,0.000197
A12,A26,0.000184
A12,A05,0.000182
A51,A48,0.00018
A46,A02,0.000179
A36,A02,0.000178
A20,A18,0.000177
A50,A36,0.00017
A04,A09,0.000165
A51,A24,0.000164
A36,A23,0.000163
A30,A35,0.000162
A12,A01,0.000151
A28,A24,0.00015
A04,A33,0.000141
A28,A11,0.000141
A42,A13,0.00014
A47,A30,0.000138
A23,A26,0.000134
A24,A12,0.000134
A40,A29,0.000133
A24,A44,0.000131
A36,A27,0.00013
A02,A31,0.000127
A27,A05,0.000124
A04,A21,0.00012
A33,A27,0.000119
A51,A13,0.000116
A02,A44,0.000114
A36,A18,0.000113
A33,A40,0.000111
A15,A16,0.00011
A28,A44,0.000109
A02,A32,0.000108
A15,A29,0.000106
A51,A37,0.000105
A02,A45,0.000104
A36,A20,0.000104
A04,A28,0.000101
A15,A07,0.000101
A28,A27,0.000098
A45,A16,0.000098
A51,A19,0.000097
A22,A48,0.000095
A22,A16,0.000091
A24,A19,0.000091
A36,A16,0.00009
A36,A37,0.00009
A36,A42,0.00009
A02,A34,0.000088
A02,A49,0.000088
A36,A10,0.000086
A50,A16,0.000085
A04,A43,0.000084
A02,A51,0.000083
A38,A43,0.000083
A28,A31,0.00008
A43,A24,0.000078
A36,A31,0.000077
A51,A08,0.000076
A26,A44,0.000074
A36,A15,0.000074
A36,A25,0.000074
A23,A01,0.000071
A28,A25,0.000068
A36,A28,0.000068
A02,A18,0.000066
A43,A03,0.000066
A19,A46,0.000064
A37,A19,0.000064
A02,A41,0.000063
A50,A01,0.000063
A02,A16,0.000061
A36,A40,0.000059
A50,A08,0.000058
A42,A43,0.000057
A02,A24,0.000053
A12,A45,0.000051
A36,A43,0.000051
A02,A46,0.00005
A23,A09,0.000048
A21,A29,0.000046
A02,A12,0.000044
A02,A47,0.000044
A28,A07,0.000043
A38,A31,0.000038
A20,A17,0.000036
A36,A29,0.000034
A04,A05,0.000032
A28,A43,0.000031
A02,A40,0.00003
A38,A36,0.00003
A28,A22,0.000029
A30,A36,0.000029
A36,A30,0.000029
A02,A28,0.000027
A36,A22,0.000026
A19,A41,0.000025
A20,A07,0.000025
A36,A14,0.000024
A02,A48,0.000021
A28,A18,0.000021
A28,A48,0.000018
A32,A05,0.000017
A36,A21,0.000016
A28,A09,0.000015
A28,A16,0.000012
A28,A29,0.00001
A36,A41,0.000009
A28,A14,0.000007
A36,A09,0.000007
A36,A12,0.000006
A02,A50,0.000005
A02,A01,0.000003
A02,A26,0.000002
A02,A43,0.000002
A28,A26,0.000001
A36,A01,0.000001
A36,A48,0.000001
